Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.497,0.000684824,0.002839767,0.003848315,0.005350821,0.004271816,0.000168499,0.000175996,0.000154579,0.000223257,0.000318352,0.000735388,0.007026252,0.058734698,0.004836601,0.008839079,3.18E-05,1.62E-05,4.47E-05,1.83E-05,2.78E-05,0,0
0.498,0.000757246,0.002977399,0.003976109,0.005611774,0.00454986,0.000182884,0.000192859,0.000146177,0.000230199,0.000276086,0.000690398,0.006355101,0.060954041,0.00544168,0.009734552,2.34E-05,2.41E-05,1.22E-05,-3.93E-06,5.11E-05,0,0
0.499,0.000829495,0.003034941,0.004100609,0.005843148,0.004840707,0.000188819,0.000173729,0.000119509,0.000193055,0.000271503,0.000633063,0.005759864,0.062557167,0.006063212,0.010666001,1.66E-05,2.72E-05,2.65E-05,2.55E-05,4.06E-05,0,0
0.5,0.000886874,0.003168952,0.004241112,0.006081271,0.00521914,0.000167873,0.000206796,0.000159703,0.000201447,0.000299263,0.000597805,0.005234683,0.063620306,0.006739161,0.011689108,3.40E-05,3.11E-05,5.60E-05,2.88E-05,5.65E-06,0,0
0.501,0.001024477,0.003228375,0.004429735,0.00635142,0.005518143,0.000142404,0.000197501,0.000183915,0.000226338,0.000297399,0.000527637,0.004808333,0.063003961,0.007467001,0.012758231,3.93E-05,8.66E-06,3.20E-05,-1.58E-05,-4.53E-06,0,0
0.502,0.001086298,0.003343631,0.004650769,0.006632022,0.005896078,0.000146923,0.000188399,0.000175996,0.000214709,0.000281493,0.000451404,0.004355879,0.062807601,0.008235868,0.014000592,4.57E-05,2.44E-05,4.36E-05,3.51E-06,4.08E-05,0,0
0.503,0.001158169,0.003424413,0.004830987,0.006896115,0.006321536,0.00017386,0.000195654,0.000192859,0.000193815,0.000272881,0.000449217,0.003915052,0.062632819,0.009027073,0.015220579,2.76E-05,2.41E-05,3.54E-05,3.16E-05,3.24E-05,0,0
0.504,0.001244699,0.003537006,0.005076365,0.007193134,0.006715155,0.000176773,0.000168296,0.000173729,0.000204577,0.000263616,0.00043807,0.003581818,0.061689666,0.009820917,0.016383513,3.60E-05,1.02E-05,2.94E-05,2.84E-05,1.45E-05,0,0
0.505,0.001278797,0.003612414,0.005332274,0.007528047,0.007164144,0.000151389,0.000180515,0.000206796,0.00017083,0.0002034,0.000418487,0.003272285,0.060112931,0.010651329,0.017718093,3.40E-05,2.65E-05,6.51E-05,1.01E-05,1.70E-05,0,0
0.506,0.001373151,0.003702728,0.00550892,0.007892181,0.00755638,0.000133556,0.000208574,0.000197501,0.000182612,0.000211486,0.000421057,0.002986479,0.058319077,0.011523496,0.019051174,2.42E-05,3.30E-05,5.09E-05,2.45E-05,-4.70E-06,0,0
0.507,0.001457891,0.003790493,0.005743417,0.008246399,0.007942745,0.000150079,0.000172854,0.000188399,0.000184896,0.000229695,0.000404993,0.00272065,0.056749534,0.012393392,0.020305983,2.99E-05,4.18E-05,4.08E-05,3.33E-05,-1.39E-05,0,0
0.508,0.001549248,0.003915093,0.006000077,0.008512462,0.00839251,0.000135488,0.000151142,0.000195654,0.000182566,0.000231046,0.000374264,0.002517049,0.054655193,0.013242519,0.021624623,1.99E-05,3.41E-05,1.53E-05,1.22E-05,-2.36E-05,0,0
0.509,0.00163744,0.003955223,0.006244838,0.008752067,0.008778431,0.000134863,0.000205993,0.000168296,0.000183056,0.000224661,0.000347212,0.002308443,0.052450379,0.014090915,0.022785162,2.18E-05,3.30E-05,3.76E-05,9.64E-06,-4.93E-06,0,0
