Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.567,0.007645083,0.008612585,0.01313104,0.015271982,0.015300181,0.00013321,0.000111393,0.000157357,0.000132949,9.04E-05,0.000128533,0.000102535,0.000919049,0.023371539,0.003329979,0.001586481,0.004126017,0.000149338,7.32E-05,5.34E-05,0,0
0.568,0.007861658,0.008781893,0.013204772,0.015223369,0.015218244,0.000109378,0.000125093,0.000179784,0.00010602,0.000100559,0.000148512,6.99E-05,0.000912089,0.023269217,0.003121583,0.001789996,0.004297673,0.000156363,0.000105496,5.26E-05,0,0
0.569,0.007961568,0.008792663,0.013244739,0.015343465,0.015105327,0.000135216,0.000127752,0.000166591,0.00011165,8.51E-05,0.000123078,0.000101546,0.000865236,0.023152757,0.002956801,0.002047347,0.004425306,0.000171372,7.43E-05,4.51E-05,0,0
0.57,0.008159657,0.008979985,0.013267202,0.015285508,0.01535769,0.000116259,9.62E-05,0.000139289,0.000116129,9.37E-05,0.000107618,9.32E-05,0.000811428,0.023040342,0.002766614,0.002343188,0.004527948,0.000187488,7.06E-05,5.97E-05,0,0
0.571,0.008221862,0.009134041,0.013304914,0.015208245,0.015162047,0.000115387,0.000135277,0.000143341,0.000120086,8.18E-05,0.000146674,9.08E-05,0.000733728,0.022919313,0.002610028,0.002661135,0.004639131,0.000191175,9.63E-05,7.51E-05,0,0
0.572,0.008377505,0.009149289,0.013415656,0.015191932,0.015099021,0.000120341,0.000139279,0.000111393,0.000145304,0.000102495,0.000136537,9.65E-05,0.000686477,0.022759297,0.00244616,0.003039599,0.004737343,0.00020362,0.000111259,9.32E-05,0,0
0.573,0.008507206,0.009281621,0.01334968,0.01513822,0.01501363,0.000117974,7.06E-05,0.000125093,0.000144915,8.63E-05,0.000138705,9.92E-05,0.000672472,0.022619954,0.002268613,0.003492983,0.004854017,0.000251968,0.000116457,5.09E-05,0,0
0.574,0.008570544,0.009387639,0.0133328,0.015076723,0.014886932,0.0001004,9.88E-05,0.000127752,8.80E-05,9.81E-05,0.000115221,9.54E-05,0.000549185,0.022454191,0.00215674,0.003956197,0.00500083,0.000273525,0.00014647,3.61E-05,0,0
0.575,0.008758279,0.009625569,0.013269223,0.015005228,0.014873728,0.000106379,0.00014689,9.62E-05,0.000108302,0.000128889,0.000127988,0.000100069,0.000514411,0.022258339,0.002040476,0.004465346,0.005108166,0.000265406,0.000126936,3.22E-05,0,0
0.576,0.00887434,0.009668878,0.013300781,0.014922235,0.014758975,9.36E-05,0.000118811,0.000135277,0.000125281,0.000119231,0.000146996,0.000124322,0.000508743,0.022084861,0.001893738,0.005106184,0.005232437,0.000306585,0.000133963,3.18E-05,0,0
0.577,0.009045302,0.009840153,0.013334312,0.014800797,0.014607057,9.33E-05,9.74E-05,0.000139279,0.000153734,6.73E-05,0.000102223,0.000130604,0.000603803,0.021910769,0.001775462,0.00574522,0.005314906,0.000376096,0.000133928,7.43E-05,0,0
0.578,0.009175435,0.009909721,0.013384385,0.014809504,0.014535,0.000105133,0.000115754,7.06E-05,0.000161807,0.000109866,7.66E-05,9.67E-05,0.000541465,0.021711726,0.001635339,0.006517252,0.005404355,0.000399887,0.000130391,7.45E-05,0,0
0.579,0.009300993,0.01005333,0.013373011,0.014891528,0.014525299,0.00010908,8.80E-05,9.88E-05,0.000136521,0.000105169,9.65E-05,7.33E-05,0.000529046,0.021543675,0.001543043,0.007381678,0.005476911,0.000403746,0.000119785,3.56E-05,0,0
0.58,0.009500918,0.010146398,0.013341884,0.014748419,0.014445779,0.000110213,0.000108788,0.00014689,0.000148851,7.79E-05,9.11E-05,8.64E-05,0.00049878,0.021360128,0.001449492,0.008487717,0.00559591,0.000461719,0.000138096,2.66E-05,0,0
0.581,0.009636715,0.010353668,0.013384015,0.014617919,0.014374739,0.000138316,0.000146288,0.000118811,0.000148987,6.83E-05,9.04E-05,6.37E-05,0.000413498,0.021153937,0.001377819,0.009705133,0.005658453,0.000504558,0.000160041,3.36E-05,0,0
0.582,0.009740132,0.010444096,0.013400529,0.014571798,0.014378857,0.000136653,0.000110062,9.74E-05,0.000157357,8.10E-05,0.000100489,9.01E-05,0.000445134,0.020979972,0.00129993,0.010982379,0.00575691,0.00055957,0.000113024,5.83E-05,0,0
0.583,0.009888171,0.010581829,0.013346044,0.014580374,0.014159894,0.000118616,0.000112522,0.000115754,0.000179784,0.000111837,8.50E-05,9.99E-05,0.000352882,0.020791777,0.001236631,0.012417773,0.005789673,0.000647569,0.000142519,4.86E-05,0,0
0.584,0.009980044,0.010680048,0.013354319,0.014445728,0.014034813,0.000112604,0.000130005,8.80E-05,0.000166591,0.000100386,9.37E-05,8.77E-05,0.000329961,0.020574437,0.001117924,0.014133656,0.005880995,0.000750424,0.000168521,1.29E-05,0,0
0.585,0.010061151,0.010861787,0.013374594,0.014381679,0.013978762,0.000128963,0.000132618,0.000108788,0.000139289,8.83E-05,8.18E-05,7.28E-05,0.000237893,0.020359539,0.001006516,0.016056772,0.005930886,0.000839662,0.000123301,1.00E-05,0,0
0.586,0.010143987,0.011067499,0.013395203,0.014355867,0.01381084,0.000120458,0.000145189,0.000146288,0.000143341,8.79E-05,0.000102424,5.92E-05,0.000280397,0.020164509,0.000981424,0.018109624,0.006017039,0.00091319,0.000140434,7.92E-06,0,0
0.587,0.010326147,0.01115908,0.01340179,0.014266811,0.013673362,0.000105947,0.000101405,0.000110062,0.000111393,9.50E-05,8.63E-05,7.24E-05,0.000277348,0.019933928,0.000938223,0.02034883,0.00601289,0.001004845,0.000168117,3.13E-05,0,0
0.588,0.010386163,0.011383396,0.013383029,0.014119724,0.013579554,0.000106679,7.90E-05,0.000112522,0.000125093,0.000120518,9.81E-05,6.90E-05,0.000283448,0.019685512,0.000866564,0.022908216,0.00606429,0.001157758,0.000214447,5.62E-05,0,0
0.589,0.010614452,0.011495504,0.013345224,0.014026838,0.013406454,8.64E-05,0.000103352,0.000130005,0.000127752,0.000119856,0.0001288,7.45E-05,0.000270529,0.019485364,0.000808848,0.025608864,0.006116598,0.001324235,0.000250692,4.56E-05,0,0
0.59,0.010700234,0.011632,0.013242954,0.014054746,0.013317509,9.41E-05,7.12E-05,0.000132618,9.62E-05,9.86E-05,0.000119149,9.10E-05,0.000220698,0.019280991,0.000752095,0.02835343,0.006139592,0.001508316,0.000255981,6.25E-05,0,0
0.591,0.010790256,0.011733443,0.013231943,0.014025403,0.013227386,0.00011995,7.92E-05,0.000145189,0.000135277,9.79E-05,6.73E-05,5.45E-05,0.000135829,0.018991992,0.000696988,0.031068875,0.006192225,0.001676075,0.000232557,6.72E-05,0,0
0.592,0.011027091,0.012009789,0.013212633,0.013884077,0.013124919,0.000110908,6.61E-05,0.000101405,0.000139279,0.000102214,0.00010979,5.32E-05,0.000167866,0.018723732,0.000679359,0.033394059,0.006171037,0.001902035,0.000285151,3.34E-05,0,0
0.593,0.011075015,0.012031111,0.013201859,0.013809561,0.013014525,0.000118959,0.000123432,7.90E-05,7.06E-05,0.000118509,0.000105096,7.87E-05,0.000169916,0.01848689,0.000679464,0.035078781,0.006237429,0.002124592,0.00034851,8.82E-05,0,0
0.594,0.011126254,0.012251992,0.013189102,0.013692145,0.012849344,0.000110904,0.000158529,0.000103352,9.88E-05,0.000106603,7.79E-05,8.92E-05,0.000169118,0.01825275,0.000622467,0.035413776,0.006211368,0.00236649,0.000333998,5.57E-05,0,0
0.595,0.01124042,0.012363875,0.013112223,0.013584717,0.01269174,0.000107032,9.09E-05,7.12E-05,0.00014689,9.47E-05,6.82E-05,8.98E-05,0.000223541,0.017993562,0.000559161,0.034766014,0.006230249,0.002713389,0.000347324,5.02E-05,0,0
0.596,0.011284116,0.01257981,0.013141162,0.01347745,0.012520872,0.000103409,9.08E-05,7.92E-05,0.000118811,7.55E-05,8.10E-05,0.000109063,0.000160657,0.017756204,0.000541915,0.032703486,0.006205381,0.003052385,0.000364425,7.49E-05,0,0
0.597,0.011335159,0.01268602,0.013090506,0.013372469,0.012394666,0.000101547,0.000120214,6.61E-05,9.74E-05,7.96E-05,0.000111759,0.000132897,6.82E-05,0.017515532,0.00048996,0.029819951,0.006216294,0.003376063,0.000397582,7.30E-05,0,0
0.598,0.011492889,0.012862409,0.013071499,0.013268549,0.012285759,0.000106366,0.000116084,0.000123432,0.000115754,8.27E-05,0.000100316,0.00010642,8.36E-05,0.01724756,0.000488546,0.026321699,0.006251242,0.00385613,0.00047105,9.57E-05,0,0
0.599,0.011565228,0.013085719,0.012969955,0.01315492,0.012284434,0.000112624,0.000121934,0.000158529,8.80E-05,8.56E-05,8.82E-05,0.000109838,4.64E-05,0.017008673,0.000462284,0.022704514,0.006201205,0.004329673,0.000524118,9.56E-05,0,0
0.6,0.011674181,0.013231929,0.012862762,0.012886582,0.012061882,0.000105817,0.000104069,9.09E-05,0.000108788,0.000103533,8.78E-05,0.000101628,0.000129623,0.016765955,0.000415133,0.019205481,0.006165653,0.004733613,0.000539312,-2.52E-06,0,0
0.601,0.01169342,0.013429135,0.01282933,0.012804522,0.011917386,0.000103787,8.71E-05,9.08E-05,0.000146288,0.000103256,9.50E-05,7.73E-05,6.63E-05,0.016492191,0.000384215,0.016176867,0.006112777,0.005333198,0.000580775,-1.84E-06,0,0
0.602,0.011773607,0.013502022,0.012716395,0.012766495,0.011761159,8.62E-05,8.59E-05,0.000120214,0.000110062,6.27E-05,0.000120434,8.46E-05,-3.85E-05,0.016210852,0.000384431,0.013648049,0.006115038,0.006094821,0.000668499,3.06E-05,0,0
0.603,0.011843626,0.013762646,0.012606639,0.012644984,0.011571147,8.58E-05,8.91E-05,0.000116084,0.000112522,7.72E-05,0.000119773,7.71E-05,-3.02E-05,0.015947394,0.000349843,0.011467628,0.006067301,0.006803495,0.000777905,5.30E-05,0,0
0.604,0.011772662,0.013854734,0.012527483,0.012591009,0.011473402,9.18E-05,0.000152034,0.000121934,0.000130005,8.93E-05,9.85E-05,7.67E-05,8.44E-05,0.015717385,0.000355778,0.009609746,0.006013385,0.007670345,0.000836824,4.13E-05,0,0
0.605,0.011869521,0.013990656,0.012398685,0.012387026,0.011305661,6.75E-05,0.000110624,0.000104069,0.000132618,0.00010954,9.79E-05,8.60E-05,0.000163115,0.015467932,0.000360564,0.008053433,0.006009155,0.00864785,0.001005466,5.02E-05,0,0
0.606,0.011794474,0.014014046,0.012364979,0.012305129,0.011112443,5.95E-05,0.000130757,8.71E-05,0.000145189,0.000115292,0.000102143,5.30E-05,5.98E-05,0.015191232,0.000350381,0.006805209,0.005940813,0.009705765,0.001127214,0.000121949,0,0
0.607,0.011883285,0.014307285,0.012345124,0.012163271,0.010961165,7.50E-05,0.000119075,8.59E-05,0.000101405,9.73E-05,0.000118426,8.20E-05,-6.56E-06,0.014943449,0.000274554,0.005705313,0.005922789,0.010888803,0.001195092,9.14E-05,0,0
0.608,0.011838078,0.014426155,0.012328693,0.012046423,0.010861277,8.55E-05,4.45E-05,8.91E-05,7.90E-05,0.000106061,0.000106529,8.51E-05,2.06E-07,0.014687751,0.000214111,0.004804497,0.005854758,0.01227476,0.001340269,9.42E-05,0,0
0.609,0.011845097,0.014534955,0.012143211,0.011923199,0.010702014,0.000109854,0.000112061,0.000152034,0.000103352,0.000106158,9.47E-05,8.57E-05,-1.79E-05,0.014412732,0.000237083,0.003969461,0.005789174,0.013965705,0.001484254,0.00010538,0,0
0.61,0.011885155,0.014710727,0.012018455,0.011822241,0.010537705,0.00011503,7.36E-05,0.000110624,7.12E-05,0.000112121,7.55E-05,0.000111187,-9.90E-05,0.014146196,0.000256695,0.003295441,0.005743234,0.015577303,0.001628595,2.18E-06,0,0
0.611,0.011910032,0.014874457,0.011955606,0.011571669,0.01035615,0.000127602,6.94E-05,0.000130757,7.92E-05,0.000128101,7.95E-05,9.68E-05,-1.37E-05,0.013902383,0.000258648,0.002765858,0.005680024,0.017514127,0.001807523,4.92E-05,0,0
0.612,0.011868983,0.0149348,0.011853383,0.011459681,0.010177897,0.000130987,4.77E-05,0.000119075,6.61E-05,0.000118701,8.27E-05,0.000114973,6.47E-06,0.013647491,0.000260155,0.002350905,0.005574383,0.01971843,0.002061924,0.000105616,0,0
0.613,0.012009408,0.015018423,0.011771781,0.011370712,0.01005271,8.25E-05,6.27E-05,4.45E-05,0.000123432,9.92E-05,8.55E-05,0.000112456,6.52E-05,0.013390183,0.000215651,0.00196806,0.005545787,0.022181942,0.002291161,5.95E-05,0,0
0.614,0.011932534,0.01515857,0.011695579,0.011163091,0.009939509,7.57E-05,0.000108934,0.000112061,0.000158529,0.000102135,0.000103461,0.00010761,4.15E-05,0.013147916,0.000174892,0.001615466,0.00547598,0.024857498,0.002500886,4.83E-05,0,0
0.615,0.011851627,0.015125261,0.011632566,0.010962888,0.009756349,8.18E-05,9.57E-05,7.36E-05,9.09E-05,7.94E-05,0.000103185,9.81E-05,-4.38E-05,0.012905157,0.000200275,0.001390495,0.005420108,0.027917824,0.002780558,9.24E-05,0,0
0.616,0.011788515,0.015274881,0.011579306,0.010849039,0.009662808,6.65E-05,0.000104215,6.94E-05,9.08E-05,8.91E-05,6.27E-05,9.35E-05,0.000276386,0.012652312,0.000173649,0.001188159,0.005344528,0.031093604,0.003129008,9.34E-05,0,0
0.617,0.011765612,0.015326096,0.011370213,0.010794233,0.009520285,4.24E-05,0.000101366,4.77E-05,0.000120214,9.10E-05,7.71E-05,7.72E-05,9.99E-05,0.012389532,0.000154283,0.001005871,0.005283278,0.03487977,0.003431232,8.92E-05,0,0
0.618,0.011730089,0.015389309,0.011223941,0.010696457,0.009310396,6.19E-05,5.25E-05,6.27E-05,0.000116084,6.85E-05,8.92E-05,9.68E-05,0.000133422,0.012126613,0.000153577,0.000872013,0.005156139,0.0389656,0.003751746,0.00012896,0,0
0.619,0.011695633,0.015430998,0.011170931,0.010490963,0.009169832,6.44E-05,9.36E-05,0.000108934,0.000121934,9.64E-05,0.000109464,8.53E-05,5.19E-05,0.011881914,0.000168852,0.000748059,0.005099753,0.04346799,0.004130811,9.42E-05,0,0
0.62,0.011604939,0.015530498,0.01104399,0.010270627,0.009056865,7.82E-05,0.000143169,9.57E-05,0.000104069,9.92E-05,0.000115212,0.000103662,2.04E-05,0.01164194,0.00014898,0.000634181,0.005011392,0.048288692,0.004582081,4.21E-05,0,0
0.621,0.011582893,0.015543429,0.0108464,0.010094715,0.008863845,7.39E-05,4.69E-05,0.000104215,8.71E-05,5.03E-05,9.72E-05,9.47E-05,9.38E-05,0.011404013,0.000147719,0.000560468,0.004964812,0.053699178,0.005117339,7.39E-05,0,0
0.622,0.011531567,0.015616488,0.010749749,0.010030854,0.008706737,6.66E-05,6.06E-05,0.000101366,8.59E-05,7.04E-05,0.000105987,0.000124881,0.000195293,0.011163324,0.00014735,0.000445206,0.004873143,0.059480482,0.005701423,7.33E-05,0,0
0.623,0.011490862,0.015605251,0.010733538,0.009896748,0.008533824,5.61E-05,8.76E-05,5.25E-05,8.91E-05,0.000104663,0.000106084,0.000104145,9.25E-05,0.010928353,0.000122514,0.000381788,0.004786169,0.065857618,0.006259126,6.81E-05,0,0
0.624,0.01137212,0.015624166,0.010560624,0.009791301,0.008355099,4.00E-05,7.11E-05,9.36E-05,0.000152034,8.47E-05,0.000112043,6.56E-05,-4.95E-05,0.010710379,0.0001098,0.000323741,0.004713625,0.072867699,0.006881628,7.68E-05,0,0
0.625,0.011283759,0.015696788,0.010360898,0.009636258,0.008261185,4.96E-05,9.54E-05,0.000143169,0.000110624,6.94E-05,0.000128012,8.45E-05,7.46E-05,0.010466625,9.51E-05,0.000292445,0.004643103,0.080419818,0.007614305,3.44E-05,0,0
0.626,0.011173517,0.015752198,0.01020254,0.009497031,0.00812402,9.74E-05,0.000114599,4.69E-05,0.000130757,8.25E-05,0.000118618,7.94E-05,0.000196179,0.010237092,0.000121784,0.000274652,0.0045589,0.088465561,0.008449834,5.16E-05,0,0
0.627,0.011062552,0.015806171,0.010137147,0.00931609,0.007936175,5.43E-05,0.000136576,6.06E-05,0.000119075,6.27E-05,9.92E-05,8.24E-05,0.000127304,0.010008295,0.000125955,0.000219887,0.004436904,0.096862414,0.00926116,6.99E-05,0,0
0.628,0.01101443,0.015744301,0.009964285,0.0091422,0.007835592,6.52E-05,7.75E-05,8.76E-05,4.45E-05,7.75E-05,0.000102064,7.00E-05,0.00013826,0.009772851,0.000117561,0.000178529,0.004377745,0.104991681,0.010162738,6.23E-05,0,0
0.629,0.010940994,0.015848966,0.009844571,0.008985839,0.007650134,8.25E-05,9.32E-05,7.11E-05,0.000112061,0.000104234,7.93E-05,3.43E-05,0.000170591,0.009559739,7.68E-05,0.00016849,0.004256088,0.112891681,0.011086578,5.18E-05,0,0
0.63,0.010868894,0.015838998,0.009766423,0.008778111,0.007487442,5.83E-05,6.29E-05,9.54E-05,7.36E-05,7.84E-05,8.91E-05,6.98E-05,0.000133251,0.009342603,5.23E-05,0.000127019,0.004178121,0.120099087,0.011970225,4.65E-05,0,0
0.631,0.010725424,0.015854245,0.009668997,0.008657348,0.007332544,5.38E-05,8.01E-05,0.000114599,6.94E-05,8.02E-05,9.10E-05,4.65E-05,0.000114591,0.009113179,9.74E-05,0.000130004,0.004094327,0.125116108,0.01323353,8.84E-05,0,0
0.632,0.010621283,0.015814999,0.009515245,0.008629528,0.007255026,5.61E-05,8.29E-05,0.000136576,4.77E-05,9.26E-05,6.85E-05,5.15E-05,4.71E-05,0.008897172,7.45E-05,0.000116593,0.004001068,0.127955438,0.014504387,0.000116613,0,0
0.633,0.010542836,0.015736332,0.009284745,0.008404981,0.007064341,5.43E-05,8.96E-05,7.75E-05,6.27E-05,9.45E-05,9.63E-05,7.29E-05,-2.59E-05,0.008688947,3.75E-05,7.97E-05,0.003943259,0.127217568,0.015682804,3.86E-05,0,0
0.634,0.010521442,0.015632883,0.009149405,0.008325256,0.006972168,5.66E-05,0.000120499,9.32E-05,0.000108934,0.000103451,9.92E-05,4.60E-05,-8.16E-05,0.008491251,3.42E-05,0.000103777,0.003828988,0.123116721,0.017136344,0.000115231,0,0
0.635,0.010297036,0.015597642,0.00902073,0.008205737,0.006844953,4.95E-05,9.03E-05,6.29E-05,9.57E-05,7.23E-05,5.03E-05,5.28E-05,-1.47E-05,0.008291099,4.09E-05,0.000110855,0.003787199,0.115222507,0.018869156,0.000164011,0,0
0.636,0.010127768,0.015620956,0.008984556,0.007921904,0.00671297,6.72E-05,0.000135362,8.01E-05,0.000104215,5.63E-05,7.04E-05,6.34E-05,-9.40E-06,0.008082318,7.03E-05,8.07E-05,0.003690416,0.104955336,0.02056861,0.000162012,0,0
0.637,0.010138183,0.015433955,0.008749073,0.007720412,0.006618501,6.16E-05,0.000170813,8.29E-05,0.000101366,7.36E-05,0.000104591,3.01E-05,-0.000129122,0.007880829,0.000117503,9.45E-05,0.00360542,0.092546103,0.022372143,0.000126867,0,0
0.638,0.009980328,0.015328125,0.008642361,0.007682528,0.00644903,7.30E-05,9.93E-05,8.96E-05,5.25E-05,5.08E-05,8.46E-05,4.89E-05,-0.000103325,0.007689285,6.49E-05,9.73E-05,0.003525287,0.079654292,0.024516525,0.000128336,0,0
0.639,0.009916462,0.015254813,0.008480388,0.007528992,0.006364926,4.38E-05,0.000122824,0.000120499,9.36E-05,5.64E-05,6.94E-05,7.38E-05,-2.70E-05,0.007519732,3.01E-05,7.58E-05,0.003433623,0.06690585,0.026927147,0.000120093,0,0
0.64,0.009693142,0.015099244,0.00832359,0.007340294,0.00622638,2.41E-05,0.000108317,9.03E-05,0.000143169,4.71E-05,8.24E-05,6.26E-05,-2.61E-05,0.007343138,1.15E-05,5.19E-05,0.003339793,0.055924856,0.029640126,0.000108518,0,0
0.641,0.009599253,0.015078074,0.008181317,0.007209844,0.006096801,6.74E-05,0.00013157,0.000135362,4.69E-05,8.79E-05,6.26E-05,6.12E-05,1.62E-05,0.007171086,-2.77E-05,5.20E-05,0.003271346,0.046388024,0.032492999,0.00013225,0,0
0.642,0.009460319,0.014920758,0.008035712,0.00707836,0.005939671,0.000100465,9.84E-05,0.000170813,6.06E-05,0.000112957,7.75E-05,7.86E-05,7.86E-05,0.007011401,2.48E-05,5.99E-05,0.003196578,0.03846694,0.03570752,0.000117652,0,0
0.643,0.009326005,0.014875371,0.007902626,0.006940024,0.005835377,6.60E-05,9.55E-05,9.93E-05,8.76E-05,6.47E-05,0.000104162,4.92E-05,0.00011241,0.006824943,5.45E-05,6.11E-05,0.003115247,0.031729204,0.039195882,0.000130642,0,0
0.644,0.009244515,0.014722615,0.007784311,0.006892176,0.005708101,8.59E-05,0.000140584,0.000122824,7.11E-05,6.47E-05,7.84E-05,4.07E-05,1.38E-05,0.006650433,5.02E-06,5.61E-05,0.003022167,0.026224714,0.043082506,0.000170332,0,0
0.645,0.009038421,0.014668569,0.007692969,0.006773795,0.005562681,8.29E-05,0.000168198,0.000108317,9.54E-05,8.57E-05,8.01E-05,3.25E-05,-9.29E-05,0.006478737,2.57E-05,6.00E-05,0.002942861,0.021506194,0.047383603,0.000204545,0,0
0.646,0.008879734,0.014428139,0.007543479,0.006580551,0.005518005,4.55E-05,0.000197972,0.00013157,0.000114599,8.27E-05,9.26E-05,1.77E-05,-7.38E-05,0.006304983,3.29E-05,5.73E-05,0.002879234,0.017772906,0.051931137,0.000198116,0,0
0.647,0.008815992,0.014328266,0.007337565,0.006500327,0.00533748,4.93E-05,0.000158237,9.84E-05,0.000136576,8.69E-05,9.44E-05,3.87E-05,1.07E-05,0.006152477,3.62E-05,5.86E-05,0.002792259,0.014686736,0.056649273,0.000220393,0,0
0.648,0.00867656,0.01416962,0.007249479,0.006389822,0.005206994,5.25E-05,0.000182154,9.55E-05,7.75E-05,7.42E-05,0.000103379,4.88E-05,-2.36E-06,0.005985767,2.99E-05,7.63E-05,0.002744648,0.012180766,0.062313809,0.000272037,0,0
0.649,0.008525984,0.013964821,0.007163289,0.006199157,0.005111125,3.80E-05,7.98E-05,0.000140584,9.32E-05,6.21E-05,7.22E-05,6.60E-05,8.53E-05,0.005823909,-2.79E-06,7.51E-05,0.002671846,0.010085053,0.068341087,0.000276894,0,0
0.65,0.008345637,0.013864382,0.007005263,0.006130438,0.005022464,6.31E-05,7.37E-05,0.000168198,6.29E-05,6.12E-05,5.62E-05,4.43E-05,-2.25E-05,0.005687048,1.18E-05,4.67E-05,0.00260642,0.008348273,0.074228512,0.000217596,0,0
0.651,0.008188199,0.013677719,0.006842266,0.005959303,0.004900878,6.34E-05,0.000137197,0.000197972,8.01E-05,6.35E-05,7.36E-05,2.38E-05,6.32E-05,0.005531694,6.00E-05,5.61E-05,0.002511457,0.007022453,0.080719166,0.000229671,0,0
0.652,0.008066787,0.013583139,0.006761033,0.005826911,0.004813532,6.25E-05,0.00019818,0.000158237,8.29E-05,0.000108329,5.07E-05,5.89E-05,7.96E-05,0.00538876,3.65E-05,5.54E-05,0.002452586,0.005858485,0.087028739,0.000241638,0,0
0.653,0.007974744,0.013365256,0.006640536,0.005713527,0.004733917,5.67E-05,8.79E-05,0.000182154,8.96E-05,7.88E-05,5.64E-05,7.68E-05,2.25E-05,0.005248125,-5.17E-06,6.11E-05,0.002390612,0.005011821,0.092893296,0.000317324,0,0
0.654,0.007854208,0.013266104,0.006461721,0.00552474,0.004588515,6.71E-05,8.92E-05,7.98E-05,0.000120499,9.32E-05,4.71E-05,5.35E-05,-0.000235519,0.005087748,2.73E-05,7.49E-05,0.002327073,0.004195029,0.099353854,0.000294738,0,0
0.655,0.007746846,0.013040303,0.006318459,0.005454314,0.004525481,8.10E-05,0.000146681,7.37E-05,9.03E-05,8.48E-05,8.79E-05,1.12E-05,-0.000198092,0.004944116,4.52E-05,5.44E-05,0.002217961,0.003566727,0.106181439,0.000258131,0,0
0.656,0.00759384,0.012896683,0.006267089,0.005353427,0.004420935,5.53E-05,0.000155258,0.000137197,0.000135362,3.17E-05,0.000112878,3.34E-05,-3.61E-05,0.004823508,5.53E-05,2.83E-05,0.002185195,0.00306547,0.113006996,0.000259972,0,0
0.657,0.007381846,0.012757139,0.006117238,0.005231702,0.004308031,4.55E-05,0.000155949,0.00019818,0.000170813,7.98E-05,6.47E-05,5.80E-05,-0.000100968,0.004696014,9.03E-05,4.95E-05,0.00212115,0.002645191,0.11926899,0.000403598,0,0
0.658,0.007254167,0.012636699,0.005938367,0.005117945,0.004187907,4.79E-05,0.00021025,8.79E-05,9.93E-05,5.25E-05,6.46E-05,5.02E-05,-3.86E-05,0.004569283,5.24E-05,6.16E-05,0.002045449,0.002317659,0.124993315,0.000514394,0,0
0.659,0.007205818,0.012426472,0.005761456,0.005012115,0.004123256,4.45E-05,0.000205848,8.92E-05,0.000122824,4.94E-05,8.56E-05,4.55E-05,7.73E-05,0.004450724,4.35E-05,7.52E-05,0.001992814,0.002012613,0.128451061,0.000508878,0,0
0.66,0.007072655,0.012356544,0.005674665,0.0048595,0.003973846,7.72E-05,0.000175566,0.000146681,0.000108317,3.40E-05,8.27E-05,2.26E-05,-2.06E-05,0.004327075,-6.93E-07,7.56E-05,0.001932509,0.001692132,0.130013737,0.000507799,0,0
0.661,0.006910735,0.012063315,0.005589149,0.004699736,0.003899922,5.76E-05,0.000223658,0.000155258,0.00013157,4.47E-05,8.68E-05,5.92E-05,-3.99E-06,0.004194513,-3.48E-05,3.23E-05,0.001871294,0.001408751,0.12693518,0.000512625,0,0
0.662,0.006747925,0.012031148,0.005474597,0.004641408,0.003809626,1.94E-05,0.000100688,0.000155949,9.84E-05,7.76E-05,7.41E-05,0.000107641,7.36E-05,0.004075678,-2.96E-05,2.53E-05,0.001825231,0.001262606,0.121038486,0.000620193,0,0
0.663,0.006649045,0.01168574,0.00536785,0.004614801,0.003751312,2.01E-05,8.85E-05,0.00021025,9.55E-05,6.82E-05,6.20E-05,7.87E-05,-7.73E-05,0.003982977,-2.30E-05,4.46E-05,0.001754862,0.001104119,0.111472091,0.000643649,0,0
0.664,0.00654124,0.01147347,0.005313451,0.004560698,0.003633708,2.34E-05,0.000193788,0.000205848,0.000140584,7.43E-05,6.11E-05,8.44E-05,-6.61E-05,0.003878732,5.25E-05,6.39E-05,0.001723057,0.000982464,0.100009891,0.000692945,0,0
0.665,0.006381722,0.011340219,0.005087319,0.004394963,0.003486632,3.27E-05,0.00017195,0.000175566,0.000168198,7.22E-05,6.35E-05,5.94E-05,-0.000220544,0.003766054,-2.85E-05,3.84E-05,0.001685424,0.000894576,0.087162638,0.000755475,0,0
0.666,0.006306905,0.011135788,0.004982404,0.004312421,0.003465477,6.19E-05,0.000160609,0.000223658,0.000197972,3.74E-05,0.000108254,4.82E-05,-0.000193419,0.003668632,-1.88E-06,3.41E-05,0.001609397,0.000765731,0.074288621,0.000794642,0,0
0.667,0.006109787,0.010922896,0.004856144,0.004161363,0.003422424,5.75E-05,9.54E-05,0.000100688,0.000158237,6.67E-05,7.88E-05,7.18E-05,4.58E-06,0.003561269,-1.54E-05,6.14E-05,0.001573435,0.000673285,0.062659332,0.000976518,0,0
0.668,0.006045786,0.0107515,0.004822418,0.004038781,0.003367722,5.76E-05,0.000106987,8.85E-05,0.000182154,0.000102012,9.31E-05,8.24E-05,0.000149238,0.003460055,1.59E-05,5.88E-05,0.001524366,0.000617707,0.052698973,0.001115555,0,0
