0.4,1.000293822
0.406,1.000293508
0.412,1.00029321
0.418,1.000292925
0.424,1.000292652
0.43,1.000292392
0.436,1.000292142
0.442,1.000291904
0.448,1.000291675
0.454,1.000291456
0.46,1.000291246
0.466,1.000291044
0.472,1.00029085
0.478,1.000290664
0.484,1.000290485
0.49,1.000290313
0.496,1.000290147
0.502,1.000289988
0.508,1.000289834
0.514,1.000289686
0.52,1.000289543
0.526,1.000289405
0.532,1.000289272
0.538,1.000289144
0.544,1.00028902
0.55,1.0002889
0.556,1.000288784
0.562,1.000288672
0.568,1.000288563
0.574,1.000288458
0.58,1.000288357
0.586,1.000288258
0.592,1.000288163
0.598,1.00028807
0.604,1.000287981
0.61,1.000287894
0.616,1.00028781
0.622,1.000287728
0.628,1.000287648
0.634,1.000287571
0.64,1.000287496
0.646,1.000287424
0.652,1.000287353
0.658,1.000287284
0.664,1.000287217
0.67,1.000287152
0.676,1.000287089
0.682,1.000287027
0.688,1.000286967
0.694,1.000286909
0.7,1.000286852
0.706,1.000286797
0.712,1.000286743
0.718,1.00028669
0.724,1.000286639
0.73,1.000286589
0.736,1.00028654
0.742,1.000286493
0.748,1.000286446
0.754,1.000286401
0.76,1.000286357
0.766,1.000286314
0.772,1.000286272
0.778,1.000286231
0.784,1.000286191
0.79,1.000286151
0.796,1.000286113
0.802,1.000286076
0.808,1.000286039
0.814,1.000286003
0.82,1.000285968
0.826,1.000285934
0.832,1.000285901
0.838,1.000285868
0.844,1.000285836
0.85,1.000285804
0.856,1.000285774
0.862,1.000285744
0.868,1.000285714
0.874,1.000285685
0.88,1.000285657
0.886,1.00028563
0.892,1.000285603
0.898,1.000285576
0.904,1.00028555
0.91,1.000285525
0.916,1.0002855
0.922,1.000285475
0.928,1.000285451
0.934,1.000285428
0.94,1.000285405
0.946,1.000285382
0.952,1.00028536
0.958,1.000285338
0.964,1.000285317
0.97,1.000285296
0.976,1.000285275
0.982,1.000285255
0.988,1.000285235
0.994,1.000285216
1,1.000285196
